# {"t_start": 1678242307.1805663, "env_id": "CarRacing-v0"} 
r,l,t
426.760563,1000,19.03317
652.508361,1000,35.875434
92.982456,1000,52.950802
664.705882,1000,70.228913
874.820144,1000,87.989085
692.284866,1000,106.089586
322.092115,798,120.614112
674.545455,1000,138.86504
709.338521,1000,157.025153
139.64497,1000,175.045885
940.3,597,186.193088
427.33119,1000,204.471512
