# {"t_start": 1678242307.1889484, "env_id": "CarRacing-v0"} 
r,l,t
632.087227,1000,19.03032
411.538095,838,33.159175
597.368421,1000,50.146642
326.966292,1000,67.386692
623.333333,1000,85.13886
716.053512,1000,103.115685
301.91746,585,113.825959
885.611511,1000,131.914369
227.097403,756,145.878726
860.655738,1000,163.866265
666.233766,1000,182.165898
715.972222,1000,200.549905
946.2,538,210.268782
