# {"t_start": 1678242307.1720333, "env_id": "CarRacing-v0"} 
r,l,t
935.1,649,13.031338
222.695035,1000,30.000271
698.479087,1000,46.873233
623.076923,1000,64.178648
942.3,577,74.236328
637.226277,1000,91.986067
197.687861,1000,110.216182
886.254296,1000,128.266844
199.245578,648,140.350869
945.1,549,150.300112
942.5,575,160.585233
907.4,926,177.41425
935.6,644,189.432484
399.990323,614,200.633148
