# {"t_start": 1678597901.7802403, "env_id": "CarRacing-v0"} 
r,l,t
929.2,708,10.702842
713.455657,1000,24.167266
293.371906,783,34.551659
896.825397,1000,47.98414
870.695971,1000,61.79447
883.606557,1000,75.977183
942.2,578,83.966403
398.412698,1000,97.569969
554.205607,1000,111.138151
863.898917,1000,124.860022
882.517483,1000,138.65696
914.3,857,150.290064
892.031873,1000,164.167377
513.970588,1000,178.152484
483.333333,1000,191.524909
935.4,646,199.94327
868.253968,1000,213.522403
744.660194,1000,227.058233
466.787004,1000,240.610513
158.181818,1000,253.775115
896.491228,1000,267.206964
922.3,777,277.744799
896.539792,1000,291.283484
183.43949,1000,304.738546
851.612903,1000,318.202773
