# {"t_start": 1678242307.1640384, "env_id": "CarRacing-v0"} 
r,l,t
491.362126,1000,19.048999
810.596026,1000,35.892136
492.948718,1000,52.964672
943.6,564,62.725146
932.2,678,74.553783
792.638037,1000,92.299405
879.522184,1000,110.525542
690.613718,1000,128.577565
388.958991,1000,147.045417
649.196141,1000,165.045542
719.672131,1000,183.349805
532.047478,1000,201.754916
