# {"t_start": 1678597901.838493, "env_id": "CarRacing-v0"} 
r,l,t
885.964912,1000,14.539383
62.790698,1000,28.03558
863.087248,1000,41.351236
938.8,612,49.528793
857.295374,1000,63.509102
929.3,707,73.4831
826.829268,1000,87.323416
681.350482,1000,100.891998
207.167235,1000,114.573989
920.5,795,125.559696
664.119601,1000,139.226098
422.968198,1000,152.889086
628.476821,1000,166.601565
251.06383,1000,180.748212
931.9,681,189.761078
879.674797,1000,202.929535
252.348993,1000,216.482073
896.441281,1000,230.074416
889.285714,1000,243.519001
874.193548,1000,256.684624
849.206349,1000,270.21238
872.027972,1000,283.756693
312.681818,856,295.327137
930.5,695,304.618496
878.021978,1000,318.079799
