# {"t_start": 1678597901.8630147, "env_id": "CarRacing-v0"} 
r,l,t
460.885609,1000,14.515021
887.055016,1000,28.011367
937.8,622,36.215503
829.328622,1000,49.656546
909.0,910,62.306885
504.83871,1000,76.491196
873.333333,1000,90.237966
882.45614,1000,103.73993
456.818182,1000,117.480504
286.885246,1000,131.341279
734.415584,1000,144.768303
872.413793,1000,158.710708
888.549618,1000,172.504488
869.387755,1000,186.344826
684.615385,1000,199.295869
492.705167,1000,212.88479
893.220339,1000,226.394974
855.390335,1000,239.944481
245.394737,1000,253.145504
883.49835,1000,266.567416
741.549296,1000,280.148366
685.211268,1000,293.692937
58.102767,1000,307.140147
884.251969,1000,320.590637
